,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
1145,0.1625,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7357713505383174,0.8582035393940065,0.2458111051208819,-0.5548580864698206,-0.8342666781201173,0.2887996968884416,0.0365991269722485,0.0173891475716679,2.2119365552471064e-15,17.487037648106664,20
1146,0.175,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7493661519910026,0.8694800344666451,0.2797898021435025,-0.5634276134295402,-0.8096973615143831,0.2764339150111967,0.0440379264190321,0.0223973868795207,2.2119365552471064e-15,17.487037648106664,20
1147,0.1875,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7584382644235418,0.8781173636008051,0.3128149754011634,-0.576187693665763,-0.7729552435953086,0.2584308782312749,0.0516537083481687,0.0280278254893385,2.2119365552471064e-15,17.487037648106664,20
1148,0.2,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7654990140116777,0.8848613825811441,0.3488446569305019,-0.5911473934062246,-0.7085388242870758,0.2350917242730313,0.0597723470189905,0.0340968108013663,2.2119365552471064e-15,17.487037648106664,20
1149,0.2125,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7702582801334,0.8896359233599298,0.3860508982897569,-0.6112964796885039,-0.6233034056256441,0.2029918025604722,0.0695275474325467,0.0405146199464284,2.2119365552471064e-15,17.487037648106664,20
1150,0.225,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7735757859771265,0.8911433822075036,0.4200656429851374,-0.6404062354924068,-0.5266970240237322,0.1598934728244914,0.0798612099943023,0.0471840282639623,2.2119365552471064e-15,17.487037648106664,20
1151,0.2375,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7730466636611675,0.8883394692874307,0.4503566335100725,-0.6788274202601252,-0.4285336668452177,0.105698764041469,0.0899966023520441,0.0541594462062057,2.2119365552471064e-15,17.487037648106664,20
1152,0.25,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.766889404512657,0.8810956955418052,0.4771241643822256,-0.7235157120880701,-0.3374509890316762,0.0429320816966559,0.0997457413740627,0.0613448439361066,2.2119365552471064e-15,17.487037648106664,20
1153,0.27,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7505684542438202,0.8655806189260822,0.5248130345278202,-0.7903682189324509,-0.2394237323809531,-0.0561119701318153,0.111735724638893,0.07318092576623,2.2119365552471064e-15,17.487037648106664,20
1154,0.29,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7398072301171874,0.8593823255365004,0.6076840226969202,-0.8207143849896592,-0.2085983147520177,-0.113896422975009,0.1212008134438096,0.0845651593922339,2.2119365552471064e-15,17.487037648106664,20
1155,0.31,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7402157278668704,0.8666920235575727,0.7052643813240611,-0.8306615802658948,-0.2408954877076101,-0.1306680346821978,0.1295877877011828,0.0935596936694628,2.2119365552471064e-15,17.487037648106664,20
1156,0.33,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7489017001633376,0.8779181397279194,0.7750146210331302,-0.8539251401310187,-0.2782331158878761,-0.1262168034360591,0.1406488126526252,0.0987103036224242,2.2119365552471064e-15,17.487037648106664,20
1157,0.35,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7612041831511976,0.8860808508192908,0.8251202887918144,-0.881960012198066,-0.3222423552330302,-0.1287663359077008,0.1505051503903854,0.1005630030159265,2.2119365552471064e-15,17.487037648106664,20
