t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,theta,phi,sign_label,sign_AB,sign_BC,sign_AC,J_tri_norm,J_tot_analytic
0.02,0.4330127018922193,0.4330127018922193,0.25,0.55027055291486,0.34263421025246804,1.606176863411823,0.34641016151377546,2.0793996001122537,0.32475952641916445,0.0568940190779442,0.17518814522629755,9.457024387990348e-09,0.0,9.946208030147663e-08,6.722440271111907e-09,0.02020877726438152,0.04122332529775059,0.020430860250385326,0.010845860316655742,0.25482066597841013,0.6613879270715354,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.514246426844325,0.3787177479197461,1.610007291874307,0.34641016151377546,2.0699901693283214,0.32475952641916445,0.05706296198917314,0.17570835448110134,1.4249536639467493e-08,0.0,9.946214696847822e-08,6.722445267115518e-09,0.02024246627311848,0.0413505748714291,0.020407241676000835,0.010769389025273288,0.25482066597841013,0.7440614179554773,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.47454730082504387,0.4123966286273729,1.6139187959672696,0.34641016151377546,2.0603139399240016,0.3247595264191644,0.05728294588073611,0.1763857291958281,1.9341146440135923e-08,0.0,9.946220684268244e-08,6.722449708007616e-09,0.020276537171400662,0.0413769127293626,0.020381298025577768,0.010690523561962777,0.25482066597841013,0.8267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.43139345083240344,0.443403453568248,1.617805015427589,0.34641016151377546,2.054470621807079,0.32475952641916445,0.05755058735695591,0.17720985121365104,2.461946177004895e-08,0.0,9.946226101111669e-08,6.72245303867669e-09,0.02031005649406209,0.041299358702428596,0.02035368897889536,0.010611374576462147,0.25482066597841013,0.9094083997233612,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3850412120392399,0.4714795589773958,1.6215579824655773,0.34641016151377546,2.068239564834555,0.32475952641916445,0.05786181805489015,0.17816819322555724,2.9951755672674815e-08,0.0,9.946230893391204e-08,6.722456369345764e-09,0.020342110876686262,0.04111571656261349,0.020325282424361355,0.010534169881566637,0.25482066597841013,0.992081890607303,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3357839436346287,0.4963795055059827,1.6250712383495105,0.34641016151377546,2.0810751343466105,0.3247595264191644,0.0582119556803638,0.17924633750460062,3.5185773421367e-08,0.0,9.946235040244303e-08,6.722459922059443e-09,0.020371832330602132,0.040824745303738266,0.020297124724703134,0.010461191404884043,0.25482066597841013,1.074755381491245,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2839518579713299,0.5178760257156279,1.6282431527089607,0.34641016151377546,2.092619653336923,0.32475952641916445,0.058595801904542236,0.1804282773491704,4.0152223564947156e-08,0.0,9.946238630782874e-08,6.722461920460887e-09,0.020398421593914258,0.040426368990804956,0.02027038781264634,0.010394697813734404,0.25482066597841013,1.1574288723751869,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.22991053274171272,0.5357652020764155,1.6309803172259434,0.34641016151377546,2.102548862785745,0.32475952641916445,0.05900776506841816,0.1816967949148236,4.4669079720166374e-08,0.0,9.946241561300512e-08,6.722464584996146e-09,0.020421168844097032,0.039921984833309304,0.02024629569666099,0.01033683543076875,0.25482066597841013,1.2401023632591288,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.17405800047174816,0.5498715998617185,1.6332008560300506,0.34641016151377546,2.110581843641147,0.3247595264191644,0.05944200341958323,0.18303390226915756,4.8547083504136065e-08,0.0,9.946243803559441e-08,6.722466028286078e-09,0.02043947125963995,0.039315114046271936,0.02022603600386692,0.010289542248166885,0.25482066597841013,1.3227758541430708,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.11682040594114766,0.5600530499653148,1.6348374763199838,0.34641016151377546,2.1164898981884175,0.3247595264191644,0.059892582558449224,0.1844213262004403,5.159502035210068e-08,0.0,9.946245443454433e-08,6.7224670274868e-09,0.02045284715523999,0.03861361215665769,0.0202106650549135,0.010254451895738351,0.25482066597841013,1.4054493450270127,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
